Experiment Name,System Type,Timestamp,Total Runtime (s),Eval Runtime (s),Retrieval precision@1,Retrieval precision@3,Retrieval precision@5,Retrieval recall@1,Retrieval recall@3,Retrieval recall@5,Retrieval page_recall@1,Retrieval page_recall@3,Retrieval page_recall@5,Retrieval ndcg@1,Retrieval ndcg@3,Retrieval ndcg@5,Retrieval map,Retrieval mrr,Generation exact_match,Generation contains_match,Generation token_f1,Generation bleu,Generation rouge1,Generation rouge2,Generation rougeL,Generation semantic_similarity
1_Baseline,Baseline,2026-04-15 13:54:17,16.59,0.75,0.5,0.3333,0.2,0.5,1.0,1.0,0.0,0.5,0.5,0.5,0.75,0.75,0.6667,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_QueryTech_multi_query,Advanced,2026-04-15 14:02:19,12.04,2.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_QueryTech_rag_fusion,Advanced,2026-04-15 14:02:31,11.91,2.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_QueryTech_step_back,Advanced,2026-04-15 14:02:41,10.34,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_QueryTech_hyde,Advanced,2026-04-15 14:03:08,26.23,17.13,0.0,0.1667,0.1,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.3155,0.3155,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_QueryTech_query_decomposition,Advanced,2026-04-15 14:03:20,11.78,2.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_QueryTech_query_rewriting,Advanced,2026-04-15 14:03:33,13.42,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_QueryTech_query_expansion,Advanced,2026-04-15 14:03:45,12.46,2.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4_Prompting_standard,Advanced,2026-04-15 14:03:57,11.1,2.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4_Prompting_few_shot,Advanced,2026-04-15 14:04:08,11.47,2.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4_Prompting_role,Advanced,2026-04-15 14:04:19,11.28,2.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4_Prompting_cot,Advanced,2026-04-15 14:04:31,11.88,2.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4_Prompting_ensemble,Advanced,2026-04-15 14:04:43,11.37,2.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5_Multimodal_Retrieval,Advanced,2026-04-15 14:05:10,27.65,0.64,0.5,0.3333,0.2,0.5,1.0,1.0,0.0,0.5,0.5,0.5,0.75,0.75,0.6667,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_Baseline,Baseline,2026-04-15 14:52:33,31.91,4.89,0.5,0.3333,0.2,0.5,1.0,1.0,0.0,0.5,0.5,0.5,0.75,0.75,0.6667,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
