Pipeline,model,Index Build/Load,Component Initialization,Single Query Test,Full Evaluation Time,Total Pipeline Runtime
1_Baseline (BaselineRAGPipeline),qwen3-vl:8b-instruct,45.8012,0.0158,0.9621,77.4237,124.2028
2_Chunk_Ablation_sliding_window (AdvancedRAGPipeline),qwen3-vl:8b-instruct,43.5951,0.0135,1.4864,241.9458,287.0409
2_Chunk_Ablation_semantic (AdvancedRAGPipeline),qwen3-vl:8b-instruct,52.1082,0.0158,1.3504,216.6868,270.1612
2_Chunk_Ablation_hierarchical (AdvancedRAGPipeline),qwen3-vl:8b-instruct,44.568,0.0295,0.608,111.0101,156.2155
2_Chunk_Ablation_enhanced_hierarchical (AdvancedRAGPipeline),qwen3-vl:8b-instruct,57.4848,0.0197,1.9327,238.4471,297.8843
3_Query_Ablation_multi_query (AdvancedRAGPipeline),qwen3-vl:8b-instruct,50.5924,0.0177,1.7943,287.2127,339.6172
3_Query_Ablation_rag_fusion (AdvancedRAGPipeline),qwen3-vl:8b-instruct,50.4469,0.0212,1.806,302.3411,354.6152
3_Query_Ablation_step_back (AdvancedRAGPipeline),qwen3-vl:8b-instruct,52.1548,0.0209,0.9022,190.0842,243.162
3_Query_Ablation_hyde (AdvancedRAGPipeline),qwen3-vl:8b-instruct,50.1457,0.0191,0.7408,131.9696,182.8752
3_Query_Ablation_query_decomposition (AdvancedRAGPipeline),qwen3-vl:8b-instruct,51.3524,0.0153,1.6245,299.6719,352.6641
3_Query_Ablation_query_rewriting (AdvancedRAGPipeline),qwen3-vl:8b-instruct,49.5442,0.0194,0.9312,172.7806,223.2753
3_Query_Ablation_query_expansion (AdvancedRAGPipeline),qwen3-vl:8b-instruct,50.2205,0.0232,1.5789,258.3494,310.1721
4_Prompt_Ablation_few_shot (AdvancedRAGPipeline),qwen3-vl:8b-instruct,51.5251,0.0167,0.6255,111.5888,163.756
4_Prompt_Ablation_role (AdvancedRAGPipeline),qwen3-vl:8b-instruct,58.386,0.0272,0.8716,111.7207,171.0056
4_Prompt_Ablation_cot (AdvancedRAGPipeline),qwen3-vl:8b-instruct,52.5619,0.0179,0.7344,113.4645,166.7798
5_Multimodal_True (AdvancedRAGPipeline),qwen3-vl:8b-instruct,49.3055,0.0303,0.5386,117.1804,167.0548
Step1_ChunkOpt_fixed_size (AdvancedRAGPipeline),qwen3-vl:8b-instruct,60.4031,0.0242,2.4129,342.2336,405.0737
Step1_ChunkOpt_sliding_window (AdvancedRAGPipeline),qwen3-vl:8b-instruct,93.454,0.0415,2.2395,338.5685,434.3043
Step1_ChunkOpt_semantic (AdvancedRAGPipeline),qwen3-vl:8b-instruct,72.151,0.0215,0.8277,119.1608,192.1613
Step1_ChunkOpt_hierarchical (AdvancedRAGPipeline),qwen3-vl:8b-instruct,50.7653,0.0212,0.7711,121.9211,173.4786
Step1_ChunkOpt_enhanced_hierarchical (AdvancedRAGPipeline),qwen3-vl:8b-instruct,49.8105,0.0181,0.7816,137.2443,187.8545
Step2_QueryOpt_standard (AdvancedRAGPipeline),qwen3-vl:8b-instruct,48.4678,0.0177,0.7472,129.572,178.8048
Step2_QueryOpt_multi_query (AdvancedRAGPipeline),qwen3-vl:8b-instruct,60.7957,0.0209,3.2213,468.2072,532.2457
Step2_QueryOpt_rag_fusion (AdvancedRAGPipeline),qwen3-vl:8b-instruct,52.3438,0.0194,2.8778,471.267,526.508
Step2_QueryOpt_step_back (AdvancedRAGPipeline),qwen3-vl:8b-instruct,52.0349,0.0197,1.825,298.4499,352.3295
Step2_QueryOpt_hyde (AdvancedRAGPipeline),qwen3-vl:8b-instruct,49.12,0.0154,1.5447,250.762,301.4424
Step2_QueryOpt_query_decomposition (AdvancedRAGPipeline),qwen3-vl:8b-instruct,49.2211,0.0222,2.9132,464.21,516.3689
Step2_QueryOpt_query_rewriting (AdvancedRAGPipeline),qwen3-vl:8b-instruct,51.2904,0.009,1.8834,302.1195,355.3023
Step2_QueryOpt_query_expansion (AdvancedRAGPipeline),qwen3-vl:8b-instruct,50.2751,0.0162,3.3044,463.7478,517.3435
Step3_PromptOpt_standard (AdvancedRAGPipeline),qwen3-vl:8b-instruct,49.064,0.0241,2.1425,361.7238,412.9566
Step3_PromptOpt_few_shot (AdvancedRAGPipeline),qwen3-vl:8b-instruct,54.8576,0.0206,3.1641,577.5591,635.6039
Step3_PromptOpt_role (AdvancedRAGPipeline),qwen3-vl:8b-instruct,49.3809,0.0174,2.8315,660.49,712.7219
Step3_PromptOpt_cot (AdvancedRAGPipeline),qwen3-vl:8b-instruct,60.4913,0.0174,3.6746,701.5659,765.7492
Advanced RAG (standard) (AdvancedRAGPipeline),qwen3-vl:8b-instruct,1278.6959,0.0209,1.6493,433.0971,1713.4631
Advanced RAG (standard) (AdvancedRAGPipeline),qwen3-vl:8b-instruct,81.3424,0.0288,3.7989,551.316,636.4861
Advanced RAG (standard) (AdvancedRAGPipeline),qwen3-vl:8b-instruct,62.614,0.0144,2.8865,520.2151,585.7299
Advanced RAG (standard) (AdvancedRAGPipeline),qwen3-vl:8b-instruct,1521.0369,0.0137,1.9296,1625.9525,3148.9342
Advanced RAG (standard) (AdvancedRAGPipeline),qwen3-vl:8b-instruct,88.2817,0.0729,3.758,643.3778,735.4923
Advanced RAG (standard) (AdvancedRAGPipeline),qwen3-vl:8b-instruct,75.0297,0.0442,4.2884,401.1496,480.5119
Advanced RAG (standard) (AdvancedRAGPipeline),qwen3-vl:8b-instruct,71.32,0.0132,8.2832,520.3505,599.9668
Advanced RAG (standard) (AdvancedRAGPipeline),qwen3-vl:8b-instruct,1161.5903,0.023,186.1345,402.3729,1750.1217
Advanced RAG (hyde) (AdvancedRAGPipeline),qwen3-vl:8b-instruct,124.4426,0.0358,9.316,452.6636,586.458
Advanced RAG (standard) (AdvancedRAGPipeline),qwen3-vl:8b-instruct,87.8844,0.0179,1.5541,362.3286,451.785
Advanced RAG (multi_query) (AdvancedRAGPipeline),qwen3-vl:8b-instruct,80.5439,0.013,3.5842,611.667,695.8082
Advanced RAG (step_back) (AdvancedRAGPipeline),qwen3-vl:8b-instruct,89.2853,0.0124,2.8097,463.1464,555.2544
Advanced RAG (rag_fusion) (AdvancedRAGPipeline),qwen3-vl:8b-instruct,92.2022,0.0144,1224.3082,7277.497,8594.0218
Advanced RAG (query_rewriting) (AdvancedRAGPipeline),qwen3-vl:8b-instruct,87.2624,0.0235,3.5182,415.8043,506.6084
Advanced RAG (query_decomposition) (AdvancedRAGPipeline),qwen3-vl:8b-instruct,81.151,0.0144,3.3131,580.3673,664.8458
Advanced RAG (query_expansion) (AdvancedRAGPipeline),qwen3-vl:8b-instruct,88.5642,0.0123,3.4187,525.4075,617.4027
Advanced RAG (standard) (AdvancedRAGPipeline),qwen3-vl:8b-instruct,103.6697,0.0393,11.4729,610.5543,725.7362
